drug	protein	Kd	y
5291	0	10000.0	5.0
5291	1	10000.0	5.0
5291	2	10.0	7.99568
5291	3	10000.0	5.0
5291	4	10000.0	5.0
5291	5	10000.0	5.0
5291	6	10000.0	5.0
5291	7	10000.0	5.0
5291	8	10000.0	5.0
5291	9	10000.0	5.0
5291	10	10000.0	5.0
5291	11	10000.0	5.0
5291	12	10000.0	5.0
5291	13	10000.0	5.0
5291	14	10000.0	5.0
5291	15	10000.0	5.0
5291	16	10000.0	5.0
5291	17	10000.0	5.0
5291	18	10000.0	5.0
5291	19	10000.0	5.0
5291	20	10000.0	5.0
5291	21	10000.0	5.0
5291	22	10000.0	5.0
5291	23	10000.0	5.0
5291	24	10000.0	5.0
5291	25	10000.0	5.0
5291	26	10000.0	5.0
5291	27	10000.0	5.0
5291	28	10000.0	5.0
5291	29	10000.0	5.0
5291	30	10000.0	5.0
5291	31	10000.0	5.0
5291	32	10000.0	5.0
5291	33	10000.0	5.0
5291	34	10000.0	5.0
5291	35	10000.0	5.0
5291	36	10000.0	5.0
5291	37	10000.0	5.0
5291	38	10000.0	5.0
5291	39	10000.0	5.0
5291	40	10000.0	5.0
5291	41	10000.0	5.0
5291	42	10000.0	5.0
5291	43	10000.0	5.0
5291	44	10000.0	5.0
5291	45	10000.0	5.0
5291	46	10000.0	5.0
5291	47	4500.0	5.34678
5291	48	10000.0	5.0
5291	49	10000.0	5.0
5291	50	2100.0	5.67776
5291	51	11.0	7.95468
5291	52	10000.0	5.0
5291	53	10000.0	5.0
5291	54	10000.0	5.0
5291	55	10000.0	5.0
5291	56	10000.0	5.0
5291	57	10000.0	5.0
5291	58	10000.0	5.0
5291	59	10000.0	5.0
5291	60	10000.0	5.0
5291	61	10000.0	5.0
5291	62	10000.0	5.0
5291	63	10000.0	5.0
5291	64	10000.0	5.0
5291	65	0.7	9.09691
5291	66	15.0	7.82102
5291	67	10000.0	5.0
5291	68	10000.0	5.0
5291	69	10000.0	5.0
5291	70	10000.0	5.0
5291	71	10000.0	5.0
5291	72	10000.0	5.0
5291	73	10000.0	5.0
5291	74	10000.0	5.0
5291	75	10000.0	5.0
5291	76	10000.0	5.0
5291	77	1400.0	5.85384
5291	78	10000.0	5.0
5291	79	10000.0	5.0
5291	80	10000.0	5.0
5291	81	10000.0	5.0
5291	82	10000.0	5.0
5291	83	10000.0	5.0
5291	84	10000.0	5.0
5291	85	10000.0	5.0
5291	86	10000.0	5.0
5291	87	10000.0	5.0
5291	88	10000.0	5.0
5291	89	10000.0	5.0
5291	90	10000.0	5.0
5291	91	10000.0	5.0
5291	92	10000.0	5.0
5291	93	10000.0	5.0
5291	94	10000.0	5.0
5291	95	10000.0	5.0
5291	96	10000.0	5.0
5291	97	3100.0	5.50862
5291	98	1000.0	5.99996
5291	99	10000.0	5.0
5291	100	10000.0	5.0
5291	101	10000.0	5.0
5291	102	10000.0	5.0
5291	103	10000.0	5.0
5291	104	10000.0	5.0
5291	105	10000.0	5.0
5291	106	10000.0	5.0
5291	107	10000.0	5.0
5291	108	10000.0	5.0
5291	109	1200.0	5.92078
5291	110	10000.0	5.0
5291	111	10000.0	5.0
5291	112	10000.0	5.0
5291	113	10000.0	5.0
5291	114	10000.0	5.0
5291	115	10000.0	5.0
5291	116	5000.0	5.30102
